RECEITA,Ingredients,URL SITE,YOUTUBE
Bife para o Bunny,"2 bons bifes, 2 ramos de alecrim, 2 dentes de alho muito finamente picados, Sal q.b., Pimenta q.b., Puré de couve-flor:, 1 couve-flor (de uns 500g), 1 batata vermelha grande, 75ml de natas frescas, Sal q.b., Pimenta q.b., Noz-moscada q.b., Manteiga q.b.",https://www.24kitchen.pt/receita/bife-para-o-bunny,https://www.youtube.com/watch?v=R3fWRQvMsHA
Ragu à La Loren,"8 colheres de sopa de azeite, 6 dentes de alho, 1 boa cebola, 1 bom ramo de salsa, 2 cenouras, 1 talo de aipo, 1 cerveja, 1 copo de vinho tinto, 1kg de carne de vitela picada, Concentrado de tomate q.b., 150ml de polpa de tomate, 1 malagueta seca, Sal q.b., Pimenta q.b., Massa para cozer a gosto (parpadelle), Queijo parmeggiano, Manjericão",https://www.24kitchen.pt/receita/ragu-a-la-loren,https://www.youtube.com/watch?v=mw6jskhLWsQ&t=1s
Bolo Bafónico de Pão e Mel,"200g de tablete de chocolate negro, Para o Bolo:, 350g de farinha de trigo, 150g de açúcar mascavado, 1 pitada de noz-moscada, 1 pitada de gengibre em pó, 1 pitada de cravinho, 1 pitada de canela em pó, 50g de amido de milho, 1 boa colher chá de fermento em pó, 1 colher chá de bicarbonato de sódio, 160ml de água quente, 2 ovos, 250ml de leite gordo quente, 4 colheres de sopa de óleo vegetal, 250g de mel, Para o recheio:, 100g de natas frescas gordas, 1 lata de leite condensado cozido, 1 limão (raspa e sumo), 1 pitada de sal",https://www.24kitchen.pt/receita/bolo-bafonico-de-pao-de-mel,https://www.youtube.com/watch?v=hoUD5XNSYis
Francesinha,"Molho e Francesinha:, 1 cebola, 2 dentes de alho, 1 folha de louro, Azeite q.b., 2 malaguetas vermelhas secas, 1 lata de tomate pelado (das pequenas), 1 colher de sopa de Molho inglês q.b., 50ml de bom vinho do Porto, 50ml de bom vinho branco, 1 cerveja (boa), 1 colher de sopa de amido de Milho, Água fria q.b., Pão de forma, 2 bifes de alcatra, Queijo Cheddar fatiado, 2 boas salsichas frescas, 2 boas linguiças finas, Perna de porco fumada (fiambre), Queijo Flamengo fatiado, Sal, Pimenta, 1 ovo",https://www.24kitchen.pt/receita/francesinha,https://www.youtube.com/watch?v=WlzUlsj4AGQ
Bacalhau à Zé do Pipo,"2 bons lombos de bacalhau, 1 boa cebola, Vinagre de sidra q.b., Azeite q.b., Farinha q.b., Gema de ovo q.b., Pão ralado q.b., Alho em pó, Sal q.b., 100g Azeitonas pretas, Azeite aromatizado com alho q.b., Puré de batata:, 1kg de batata encarnada, 200ml de natas frescas, 100g de manteiga, Noz-moscada q.b., Sal q.b., Pimenta q.b., Mousse de Pimento:, 1 pimento encarnado, Azeite q.b., Sal q.b., Pimenta q.b., Pimentão doce q.b.",https://www.24kitchen.pt/receita/bacalhau-a-ze-do-pipo-2,https://www.youtube.com/watch?v=dTomsj7eHDk
Bacalhau à Zé do Pipo,"2 bons lombos de bacalhau, 1 boa cebola, Vinagre de sidra q.b., Azeite q.b., Farinha q.b., Gema de ovo q.b., Pão ralado q.b., Alho em pó, Sal q.b., 100g Azeitonas pretas, Azeite aromatizado com alho q.b., Puré de batata:, 1kg de batata encarnada, 200ml de natas frescas, 100g de manteiga, Noz-moscada q.b., Sal q.b., Pimenta q.b., Mousse de Pimento:, 1 pimento encarnado, Azeite q.b., Sal q.b., Pimenta q.b., Pimentão doce q.b.",https://www.24kitchen.pt/receita/bacalhau-ze-do-pipo,https://www.youtube.com/watch?v=I7Pn8VgbSIY
Bacalhau à Zé do Pipo,"1 posta de bacalhau, Azeite q.b., Sal q.b., Noz Moscada, 1 folha de louro, 1 cebola grande, 3 dentes de alho, 3 batatas grandes, 1 ramo de salsa, 8 azeitonas pretas, Leite",https://www.24kitchen.pt/receita/bacalhau-a-ze-do-pipo-2,https://www.youtube.com/watch?v=dTomsj7eHDk
Bacalhau à Zé do Pipo,"1 posta de bacalhau, Azeite q.b., Sal q.b., Noz Moscada, 1 folha de louro, 1 cebola grande, 3 dentes de alho, 3 batatas grandes, 1 ramo de salsa, 8 azeitonas pretas, Leite",https://www.24kitchen.pt/receita/bacalhau-ze-do-pipo,https://www.youtube.com/watch?v=I7Pn8VgbSIY
Folar de Olhão,"2 colheres de sobremesa de fermento de padeiro seco, 100ml de leite, 500 de farinha de trigo sem fermento t65, 300g de açúcar amarelo, 1 colher de sopa de canela, 250g de manteiga, 45g de banha de porco, 1 cálice de aguardente, Raspa e sumo de 1 laranja, Sal q.b., Para montar o folar:, 100g Açúcar amarelo, Canela q.b., 100g Manteiga",https://www.24kitchen.pt/receita/folar-de-olhao,https://www.youtube.com/watch?v=UFlt_B3Dy9Y&t=6s
Carapaus Modernos,"3 pimentos encarnados, 1 cabeça de alho, 100ml de natas frescas, Pimentão doce q.b., 4 carapaus em filete (sem espinhas), Sumo de limão q.b., Sal q.b., 1 ou 2 bolos do caco, Azeite",https://www.24kitchen.pt/receita/carapaus-modernos,https://www.youtube.com/watch?v=EMupHy-I4_A
Sandes de Carne Assada,"1 cebola doce, 2 talos de aipo, 3 cenouras, 4 tomates, Azeite, 4 malaguetas, 1 chouriço, 1 peça de porco (pata/ombro), 100ml de polpa de tomate, 100ml de coca cola, 200ml de cerveja preta, 3 colheres de sopa de açúcar mascavado, Sal, 3 folhas de louro, 1 molho de coentros, Pão:, 300g de farinha de trigo sem fermento, Sal q.b., 1 colher de sopa de bicarbonato de sódio, 3 colheres de sopa de açúcar mascavado, 150ml de água fria, 2 colheres de sopa de azeite, Pickle:, ½ couve coração, ½ couve roxa, Bicarbonato de sódio q.b., 1 cebola roxa, Vinagre de sidra q.b., Açúcar q.b., Sal q.b.",https://www.24kitchen.pt/receita/sandes-de-carne-assada,https://www.youtube.com/watch?v=lG7xCyitXp8
