RECEITA,INGREDIENTES,URL SITE,YOUTUBE,TEMPO,DIFICULDADE,CATEGORIAS
Bife para o Bunny," bons bifes,  ramos de alecrim,  dentes de alho muito finamente picados, Sal , Pimenta , Puré de couve-flor:,  couve-flor ,  batata vermelha grande, ml de natas frescas, Sal , Pimenta , Noz-moscada , Manteiga ",https://www.24kitchen.pt/receita/bife-para-o-bunny,https://www.youtube.com/watch?v=R3fWRQvMsHA,45,média,Prato Principal
Ragu à La Loren," colheres de sopa de azeite,  dentes de alho,  boa cebola,  bom ramo de salsa,  cenouras,  talo de aipo,  cerveja,  copo de vinho tinto, kg de carne de vitela picada, Concentrado de tomate , ml de polpa de tomate,  malagueta seca, Sal , Pimenta , Massa para cozer a gosto , Queijo parmeggiano, Manjericão",https://www.24kitchen.pt/receita/ragu-a-la-loren,https://www.youtube.com/watch?v=mw6jskhLWsQ&t=1s,180,dificil,Prato Principal
Bolo Bafónico de Pão e Mel,"g de tablete de chocolate negro, Para o Bolo:, g de farinha de trigo, g de açúcar mascavado,  pitada de noz-moscada,  pitada de gengibre em pó,  pitada de cravinho,  pitada de canela em pó, g de amido de milho,  boa colher chá de fermento em pó,  colher chá de bicarbonato de sódio, ml de água quente,  ovos, ml de leite gordo quente,  colheres de sopa de óleo vegetal, g de mel, Para o recheio:, g de natas frescas gordas,  lata de leite condensado cozido,  limão ,  pitada de sal",https://www.24kitchen.pt/receita/bolo-bafonico-de-pao-de-mel,https://www.youtube.com/watch?v=hoUD5XNSYis,45,média,Sobremesa
Francesinha,"Molho e Francesinha:,  cebola,  dentes de alho,  folha de louro, Azeite ,  malaguetas vermelhas secas,  lata de tomate pelado , Queijo Flamengo fatiado, Sal, Pimenta,  ovo",https://www.24kitchen.pt/receita/francesinha,https://www.youtube.com/watch?v=WlzUlsj4AGQ,45,média,Prato Principal
Bacalhau à Zé do Pipo," bons lombos de bacalhau,  boa cebola, Vinagre de sidra , Azeite , Farinha , Gema de ovo , Pão ralado , Alho em pó, Sal , g Azeitonas pretas, Azeite aromatizado com alho , Puré de batata:, kg de batata encarnada, ml de natas frescas, g de manteiga, Noz-moscada , Sal , Pimenta , Mousse de Pimento:,  pimento encarnado, Azeite , Sal , Pimenta , Pimentão doce ",https://www.24kitchen.pt/receita/bacalhau-a-ze-do-pipo-2,https://www.youtube.com/watch?v=dTomsj7eHDk,45,média,Prato Principal
Folar de Olhão," colheres de sobremesa de fermento de padeiro seco, ml de leite,  de farinha de trigo sem fermento t, g de açúcar amarelo,  colher de sopa de canela, g de manteiga, g de banha de porco,  cálice de aguardente, Raspa e sumo de  laranja, Sal , Para montar o folar:, g Açúcar amarelo, Canela , g Manteiga",https://www.24kitchen.pt/receita/folar-de-olhao,https://www.youtube.com/watch?v=UFlt_B3Dy9Y&t=6s,60,dificil,Sobremesa
Carapaus Modernos," pimentos encarnados,  cabeça de alho, ml de natas frescas, Pimentão doce ,  carapaus em filete , Sumo de limão , Sal ,  ou  bolos do caco, Azeite",https://www.24kitchen.pt/receita/carapaus-modernos,https://www.youtube.com/watch?v=EMupHy-I4_A,60,dificil,Prato Principal
Sandes de Carne Assada," cebola doce,  talos de aipo,  cenouras,  tomates, Azeite,  malaguetas,  chouriço,  peça de porco , ml de polpa de tomate, ml de coca cola, ml de cerveja preta,  colheres de sopa de açúcar mascavado, Sal,  folhas de louro,  molho de coentros, Pão:, g de farinha de trigo sem fermento, Sal ,  colher de sopa de bicarbonato de sódio,  colheres de sopa de açúcar mascavado, ml de água fria,  colheres de sopa de azeite, Pickle:, ½ couve coração, ½ couve roxa, Bicarbonato de sódio ,  cebola roxa, Vinagre de sidra , Açúcar , Sal ",https://www.24kitchen.pt/receita/sandes-de-carne-assada,https://www.youtube.com/watch?v=lG7xCyitXp8,360,dificil,Prato Principal
Cheesecake de Tomate,"Açúcar em pó , Doce de Tomate:, kg de tomate bem maduro , Casca e sumo de  laranja,  pau de canela, Hortelã fresca ,  vagem de baunilha, g de açúcar mascavado, ml de mel, Malagueta em pó , Tarte e Creme:,  pacote de bolacha de aveia, g de manteiga,  pitada de sal, g de requeijão,  ovo,  gemas de ovo,  colher de sopa de amido de milho diluído em  colheres de sopa de água fria,  colheres de sopa de açúcar mascavado,  colheres de sopa de sopa de doce de tomate",https://www.24kitchen.pt/receita/cheesecake-de-tomate,https://www.youtube.com/watch?v=Ww7enllMoPI,120,dificil,Sobremesa
Saladinha," medida de bulgur,  medidas de caldo de legumes,  maçã Granny smith,  limão , g de arandos vermelhos,  cebola roxa,  bom pepino, g de amêndoa laminada,  bom ramo de hortelã fresca,  bom ramo de salsa, Azeite , Sal , Pimenta ",https://www.24kitchen.pt/receita/saladinha,https://www.youtube.com/watch?v=748pMhRoYEw,30,fácil,"Acompanhamento, Prato Principal, Saladas"
Pastilha," peitos de frango, Curcuma , Gengibre em pó , Canela , Azeite ,  colheres de sopa de manteiga,  cebola,  dentes de alho, Caldo de frango , Damascos secos , g de amêndoa com pele triturada,  molho de salsa, Raspa e sumo de uma laranja, Sal , Pimenta ,  folhas de massa filo cortadas ao meio",https://www.24kitchen.pt/receita/pastilha,https://www.youtube.com/watch?v=WTvub3g-Ysw,45,média,Prato Principal
Bolão Bonitão,"Flores comestíveis , Bolo:,  claras de ovo, g de manteiga à temperatura ambiente, g de açúcar,  ovos inteiros, g de farinha de trigo sem fermento,  colher de sobremesa de fermento em pó,  colher de chá de bicarbonato de sódio, ml de leite gordo,  colher de sopa de essência de baunilha,  chávena de granulado colorido, Cobertura:, g de manteiga apenas amolecida, g de queijo creme, g de açúcar em pó",https://www.24kitchen.pt/receita/bolao-bonitao,https://www.youtube.com/watch?v=Ej-bfNfu33g,60,dificil,Sobremesa
Folar de Bacalhau," gema para pincelar, Massa:, gr de fermento de padeiro seco, ml de leite gordo morno, gr de farinha de trigo sem fermento, Sal , Noz-moscada ,  ovo inteiro, Azeite, Recheio:,  cebola roxa muito bem picada,  dentes de alho muito bem picados, Azeite ,  bom lombo de bacalhau desfiado em cru,  molho de grelos de couve,  molho de coentros frescos,  copo de vinho branco",https://www.24kitchen.pt/receita/folar-de-bacalhau,https://www.youtube.com/watch?v=rxxYaSEkWpQ&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=13,60,dificil,Prato Principal
Xerém de Bacalhau," postas de bacalhau , Azeite , gr de tomate cherry,  folhas de louro, Tomilho seco , Sal ,  cebola pequena,  dentes de alho,  chávena de sêmola milho,  copos de água da cozedura do bacalhau",https://www.24kitchen.pt/receita/xerem-de-bacalhau,https://www.youtube.com/watch?v=WVTIcN7Z7-8&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=14,45,média,Prato Principal
Farófias,"Amêndoas Crocantes Salgadas:, g de açúcar, g de amêndoa triturada,  bom punhado de sal, Farófias:,  ovos, g + g de açúcar em pó, L de leite gordo,  paus de canela,  vagem de baunilha,  lima",https://www.24kitchen.pt/receita/farofias-2,https://www.youtube.com/watch?v=boni4h3iJbQ&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=15,45,média,Sobremesa
